Resolution,Server Name,Task Name,Total Applied Changes,Avg Apply Throughput (rec/sec),latency,Total Change Volume
01-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLNP_JRNBRIM_TO_KAFKA,"7,364,587",206,402,16.28 GB
01-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLNP_JRNBRIM_TO_KAFKA_2,"269,993",0,512,968.51 MB
01-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLOG2_JRNBRIM1_TO_KAFKA,"127,638,111","1,431",0,255.19 GB
01-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLOG3_JRNBRIM1_TO_KAFKA,"73,327,976",619,3,84.28 GB
01-Feb-2025,QLIK-REPLICATE-PROD-1,JRNOTH_JRNBRIM_TO_KAFKA,671,0,2,14.17 MB
01-Feb-2025,QLIK-REPLICATE-PROD-1,JRNRBP_JRNBRIM_TO_KAFKA,"143,168,720","1,881","24,774",173.73 GB
01-Feb-2025,QLIK-REPLICATE-PROD-1,JRNSP2_JRNBRIM_TO_KAFKA,"127,049,871","1,486",1,528.89 GB
01-Feb-2025,QLIK-REPLICATE-PROD-1,JRNTFP_JRNBRIM_TO_KAFKA,0,0,82,0.00 Bytes
01-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB03_JRNBRIM_TO_KAFKA,"311,270,145","3,560",399,157.83 GB
01-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB04_JRNBRIM_TO_KAFKA,"76,350,395",920,373,145.28 GB
02-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLNP_JRNBRIM_TO_KAFKA,"3,417,187",21,196,7.89 GB
02-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLNP_JRNBRIM_TO_KAFKA_2,"170,978",0,277,280.95 MB
02-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLOG2_JRNBRIM1_TO_KAFKA,"126,720,101","1,423",0,250.47 GB
02-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLOG3_JRNBRIM1_TO_KAFKA,"44,155,287",445,3,50.72 GB
02-Feb-2025,QLIK-REPLICATE-PROD-1,JRNOTH_JRNBRIM_TO_KAFKA,648,0,2,14.10 MB
02-Feb-2025,QLIK-REPLICATE-PROD-1,JRNRBP_JRNBRIM_TO_KAFKA,"200,327,142","2,442","5,769",243.56 GB
02-Feb-2025,QLIK-REPLICATE-PROD-1,JRNSP2_JRNBRIM_TO_KAFKA,"219,579",0,0,980.73 MB
02-Feb-2025,QLIK-REPLICATE-PROD-1,JRNTFP_JRNBRIM_TO_KAFKA,0,0,111,0.00 Bytes
02-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB03_JRNBRIM_TO_KAFKA,"306,962,989","3,758",486,155.74 GB
02-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB04_JRNBRIM_TO_KAFKA,"93,080,025","1,104",583,176.84 GB
03-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLNP_JRNBRIM_TO_KAFKA,"3,767,988",51,297,10.67 GB
03-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLNP_JRNBRIM_TO_KAFKA_2,"271,705",1,354,446.73 MB
03-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLOG2_JRNBRIM1_TO_KAFKA,"189,106,302","2,227",1,381.60 GB
03-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLOG3_JRNBRIM1_TO_KAFKA,"79,378,300",890,5,90.53 GB
03-Feb-2025,QLIK-REPLICATE-PROD-1,JRNOTH_JRNBRIM_TO_KAFKA,"2,256",0,1,15.78 MB
03-Feb-2025,QLIK-REPLICATE-PROD-1,JRNRBP_JRNBRIM_TO_KAFKA,"148,415,025","1,843","1,796",180.02 GB
03-Feb-2025,QLIK-REPLICATE-PROD-1,JRNSP2_JRNBRIM_TO_KAFKA,"154,515,496","1,903",1,635.94 GB
03-Feb-2025,QLIK-REPLICATE-PROD-1,JRNTFP_JRNBRIM_TO_KAFKA,0,0,44,0.00 Bytes
03-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB03_JRNBRIM_TO_KAFKA,"284,440,499","3,339",366,144.22 GB
03-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB04_JRNBRIM_TO_KAFKA,"65,600,316",800,528,124.92 GB
04-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLNP_JRNBRIM_TO_KAFKA,"5,170,872",39,271,13.53 GB
04-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLNP_JRNBRIM_TO_KAFKA_2,"287,612",1,338,472.25 MB
04-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLOG2_JRNBRIM1_TO_KAFKA,"184,569,225","2,015",0,372.70 GB
04-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLOG3_JRNBRIM1_TO_KAFKA,"86,010,711","1,044",6,98.16 GB
04-Feb-2025,QLIK-REPLICATE-PROD-1,JRNOTH_JRNBRIM_TO_KAFKA,"2,716",0,1,16.30 MB
04-Feb-2025,QLIK-REPLICATE-PROD-1,JRNRBP_JRNBRIM_TO_KAFKA,"157,375,092","1,597","2,023",190.98 GB
04-Feb-2025,QLIK-REPLICATE-PROD-1,JRNSP2_JRNBRIM_TO_KAFKA,"188,665",0,0,837.13 MB
04-Feb-2025,QLIK-REPLICATE-PROD-1,JRNTFP_JRNBRIM_TO_KAFKA,0,0,10,0.00 Bytes
04-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB03_JRNBRIM_TO_KAFKA,"299,060,538","3,572",479,151.64 GB
04-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB04_JRNBRIM_TO_KAFKA,"74,408,391",969,575,141.63 GB
05-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLNP_JRNBRIM_TO_KAFKA,"5,482,676",58,316,14.53 GB
05-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLNP_JRNBRIM_TO_KAFKA_2,"347,016",1,377,570.90 MB
05-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLOG2_JRNBRIM1_TO_KAFKA,"179,975,311","1,927",0,363.35 GB
05-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLOG3_JRNBRIM1_TO_KAFKA,"97,212,379","1,017",7,111.04 GB
05-Feb-2025,QLIK-REPLICATE-PROD-1,JRNOTH_JRNBRIM_TO_KAFKA,"2,255",0,1,15.79 MB
05-Feb-2025,QLIK-REPLICATE-PROD-1,JRNRBP_JRNBRIM_TO_KAFKA,"167,219,415","1,995","1,953",202.07 GB
05-Feb-2025,QLIK-REPLICATE-PROD-1,JRNSP2_JRNBRIM_TO_KAFKA,"148,791,014","1,562",1,612.52 GB
05-Feb-2025,QLIK-REPLICATE-PROD-1,JRNTFP_JRNBRIM_TO_KAFKA,0,0,10,0.00 Bytes
05-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB03_JRNBRIM_TO_KAFKA,"293,719,456","3,236",436,148.92 GB
05-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB04_JRNBRIM_TO_KAFKA,"74,077,266",727,531,140.92 GB
06-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLNP_JRNBRIM_TO_KAFKA,"6,026,091",41,328,15.86 GB
06-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLNP_JRNBRIM_TO_KAFKA_2,"360,531",1,386,591.22 MB
06-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLOG2_JRNBRIM1_TO_KAFKA,"175,032,879","2,040",0,353.01 GB
06-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLOG3_JRNBRIM1_TO_KAFKA,"86,749,629",893,5,99.05 GB
